id,order_id,product_id,quantity,unit_price
1,1,15,1,2800
2,1,5,1,34000
3,1,14,3,3600
4,2,11,3,31500
5,2,5,3,34000
6,3,5,3,34000
7,3,3,3,2400
8,3,7,3,21500
9,3,8,1,18700
10,4,15,1,2800
11,5,12,2,3100
12,5,5,1,34000
13,6,8,2,18700
14,6,9,2,12300
15,7,9,1,12300
16,7,8,1,18700
17,7,1,2,14500
18,7,3,2,2400
19,8,14,3,3600
20,9,8,3,18700
21,9,2,2,9800
22,9,13,1,92000
23,10,5,3,34000
24,10,12,3,3100
25,10,14,1,3600
26,10,8,3,18700
27,11,1,1,14500
28,11,8,3,18700
29,11,13,1,92000
30,11,6,1,7900
31,12,14,3,3600
32,13,7,2,21500
33,13,6,1,7900
34,14,15,2,2800
35,14,7,3,21500
36,14,10,3,19900
37,14,5,1,34000
38,15,15,1,2800
39,15,6,2,7900
40,15,1,2,14500
41,15,2,2,9800
42,16,14,2,3600
43,16,6,3,7900
44,16,15,1,2800
45,16,4,2,68000
46,17,9,1,12300
47,18,9,1,12300
48,19,2,1,9800
49,20,15,2,2800
50,20,9,3,12300
51,20,3,2,2400
52,20,8,1,18700
53,21,10,3,19900
54,21,9,2,12300
55,22,14,1,3600
56,22,12,3,3100
57,23,4,3,68000
58,24,7,3,21500
59,24,6,1,7900
60,24,5,2,34000
61,24,8,1,18700
62,25,6,1,7900
63,25,3,1,2400
64,26,5,2,34000
65,26,2,3,9800
66,26,8,1,18700
67,26,6,1,7900
68,27,2,1,9800
69,27,9,3,12300
70,27,4,2,68000
71,27,13,3,92000
72,28,3,2,2400
73,29,14,2,3600
74,29,10,1,19900
75,29,15,3,2800
76,30,14,3,3600
77,31,7,2,21500
78,31,12,1,3100
79,32,9,3,12300
80,32,1,3,14500
81,33,7,3,21500
82,34,7,3,21500
83,34,3,3,2400
84,34,10,3,19900
85,34,4,2,68000
86,35,12,3,3100
87,35,14,3,3600
88,35,11,1,31500
89,36,14,3,3600
90,36,5,3,34000
91,36,7,3,21500
92,36,10,2,19900
93,37,1,2,14500
94,37,15,1,2800
95,38,4,2,68000
96,39,2,2,9800
97,39,7,1,21500
98,39,1,2,14500
99,39,9,2,12300
100,40,12,1,3100
101,41,7,2,21500
102,41,12,3,3100
103,41,2,1,9800
104,41,6,3,7900
105,42,12,1,3100
106,42,4,2,68000
107,43,4,2,68000
108,43,2,1,9800
109,43,3,1,2400
110,44,15,1,2800
111,44,13,2,92000
112,44,5,2,34000
113,45,13,2,92000
114,45,1,3,14500
115,45,9,3,12300
116,46,7,3,21500
117,46,11,1,31500
118,46,4,2,68000
119,47,14,3,3600
120,48,1,3,14500
121,48,11,3,31500
122,48,13,1,92000
123,49,6,3,7900
124,49,13,3,92000
125,49,4,1,68000
126,49,14,3,3600
127,50,4,1,68000
128,50,13,3,92000
129,50,14,2,3600
130,51,10,1,19900
131,52,13,3,92000
132,53,13,2,92000
133,53,9,1,12300
134,53,15,3,2800
135,53,10,1,19900
136,54,14,3,3600
137,54,4,2,68000
138,54,5,3,34000
139,54,3,3,2400
140,55,11,3,31500
141,56,9,2,12300
142,56,3,2,2400
143,56,6,2,7900
144,57,6,1,7900
145,57,10,3,19900
146,57,14,2,3600
147,57,13,1,92000
148,58,7,3,21500
149,58,6,2,7900
150,58,12,2,3100
151,59,6,2,7900
152,59,10,2,19900
153,60,6,1,7900
