id,customer_id,placed_on,status,shipped_on
1,1,2025-11-12,delivered,2025-11-14
2,14,2025-02-27,delivered,2025-03-04
3,21,2025-11-19,pending,
4,20,2026-06-06,cancelled,
5,7,2026-03-06,delivered,2026-03-07
6,4,2026-04-04,delivered,2026-04-10
7,5,2025-01-22,delivered,2025-01-23
8,18,2025-01-15,delivered,2025-01-20
9,23,2025-02-07,shipped,2025-02-09
10,18,2025-08-19,shipped,2025-08-24
11,1,2026-03-28,delivered,2026-04-01
12,3,2025-08-21,shipped,2025-08-22
13,8,2026-07-19,pending,
14,8,2026-06-20,delivered,2026-06-26
15,14,2026-07-09,shipped,2026-07-14
16,13,2026-04-19,pending,
17,7,2026-02-19,shipped,2026-02-25
18,25,2025-05-20,pending,
19,1,2025-07-14,shipped,2025-07-18
20,6,2026-07-04,cancelled,
21,21,2026-04-13,shipped,2026-04-17
22,16,2025-01-24,shipped,2025-01-29
23,14,2026-08-07,delivered,2026-08-11
24,6,2025-03-20,delivered,2025-03-26
25,24,2025-08-17,pending,
26,12,2025-07-21,shipped,2025-07-23
27,5,2025-05-06,shipped,2025-05-07
28,10,2025-06-08,delivered,2025-06-11
29,19,2026-02-03,shipped,2026-02-07
30,22,2025-04-07,pending,
31,16,2025-11-29,delivered,2025-12-05
32,23,2025-09-25,delivered,2025-09-30
33,21,2025-02-18,delivered,2025-02-19
34,6,2025-11-19,delivered,2025-11-20
35,25,2025-01-01,delivered,2025-01-04
36,23,2025-08-10,shipped,2025-08-14
37,4,2025-04-03,delivered,2025-04-07
38,10,2026-03-27,pending,
39,2,2025-11-06,pending,
40,15,2026-07-24,shipped,2026-07-27
41,25,2025-08-12,cancelled,
42,16,2025-02-14,delivered,2025-02-17
43,19,2026-06-18,cancelled,
44,15,2026-04-09,shipped,2026-04-10
45,12,2025-03-19,delivered,2025-03-24
46,20,2025-06-02,shipped,2025-06-07
47,23,2026-03-08,delivered,2026-03-13
48,20,2026-05-31,shipped,2026-06-03
49,12,2025-11-16,delivered,2025-11-19
50,17,2025-10-15,shipped,2025-10-17
51,9,2026-08-17,shipped,2026-08-23
52,21,2025-05-31,delivered,2025-06-06
53,4,2026-06-18,delivered,2026-06-22
54,25,2025-07-10,delivered,2025-07-16
55,21,2026-05-07,delivered,2026-05-12
56,5,2025-03-21,delivered,2025-03-24
57,19,2025-11-01,delivered,2025-11-02
58,9,2025-08-15,shipped,2025-08-17
59,3,2025-10-05,delivered,2025-10-09
60,1,2025-01-14,shipped,2025-01-19
