id,name,category,price,in_stock
1,Mechanical keyboard,Keyboards,14500,50
2,Low-profile keyboard,Keyboards,9800,29
3,Numpad,Keyboards,2400,9
4,"27"" 1440p monitor",Displays,68000,41
5,"24"" 1080p monitor",Displays,34000,54
6,Monitor arm,Displays,7900,24
7,Studio headphones,Audio,21500,44
8,USB microphone,Audio,18700,54
9,Desk speakers,Audio,12300,18
10,1TB NVMe drive,Storage,19900,9
11,2TB external SSD,Storage,31500,54
12,SD card reader,Storage,3100,35
13,Standing desk,Desk,92000,23
14,Desk mat,Desk,3600,20
15,Cable tray,Desk,2800,1
